"NoName","id","latitude","longitude","state","AUTO_UNIQUE_ID_2021-01-30_AdrianaGray_rgsample10","UpdatedReverseGeocoding","TimeTaken","TransactionId","Source","ErrorMessage","Version","ComputedStreetAddress","ComputedCity","ComputedState","ComputedZip","ComputedZipPlus4","ComputedAPN"
"288","501495","21.2700356","-157.8150533","HI",288,"1",374.9993,"","AggieReverseGeocoder","",4.01,"3626 Leahi Ave","Urban Honolulu","HI","96815","4252","31024022"
"289","51715","21.315664","-158.117872","HI",289,"1",901.095,"","AggieReverseGeocoder","",4.01,"91-503 NUKUAWA ST","Kapolei","HI","96707","","112134"
"290","54805","21.366288","-157.928295","HI",290,"1",283.4428,"","AggieReverseGeocoder","",4.01,"4510 Salt Lake Blvd","Aiea","HI","96818","3153","99076007"
"291","152372","21.395523","-158.015274","HI",291,"1",156.2637,"","AggieReverseGeocoder","",4.01,"1180 Kakala St","Waipahu","HI","96797","2064","94147090"
"292","516986","21.2567191","-157.8030535","HI",292,"1",437.5489,"","AggieReverseGeocoder","",4.01,"3617 Diamond Head Rd","Urban Honolulu","HI","96816","4430","31038033"
"293","190165","21.3232029","-157.885434","HI",293,"1",359.3955,"","AggieReverseGeocoder","",4.01,"227 Mokauea St","Hickam Housing","HI","96819","3109","12006051"
"294","260120","21.291292","-157.820877","HI",294,"1",895.2137,"","AggieReverseGeocoder","",4.01,"2638 S King St","Urban Honolulu","HI","96826","3243","28024010"
"295","258931","21.291093447","-157.85729008","HI",295,"1",707.225,"","AggieReverseGeocoder","",4.01,"1125 Ala Moana Blvd","Urban Honolulu","HI","96814","4901","21058061"
"296","36253","21.390463","-157.716522","HI",296,"1",520.5124,"","AggieReverseGeocoder","",4.01,"137 Kaiolena Dr","Waimanalo","HI","96734","3131","43006030"
"297","57986","21.677664","-158.03363","HI",297,"1",700.9858,"","AggieReverseGeocoder","",4.01,"58-144 WEHIWA PL","Haleiwa","HI","96712","","364841"
"298","53122","21.282343","-157.798264","HI",298,"1",1424.3852,"","AggieReverseGeocoder","",4.01,"3640 Waialae Ave","Urban Honolulu","HI","96816","3237","33008011"
"299","112605","21.297976","-157.844864","HI",299,"1",468.7787,"","AggieReverseGeocoder","",4.01,"833 Piikoi St","Urban Honolulu","HI","96814","2239","23012021"
"300","90538","21.29813","-157.844772","HI",300,"1",492.3182,"","AggieReverseGeocoder","",4.01,"833 Piikoi St","Urban Honolulu","HI","96814","2239","23012021"
"301","277858","21.35281","-157.923218","HI",301,"1",441.1608,"","AggieReverseGeocoder","",4.01,"1040 Puolo Dr","Aiea","HI","96818","1123","11022162"
"302","47754","21.336433","-157.838104","HI",302,"1",156.2879,"","AggieReverseGeocoder","",4.01,"51 Puiwa Rd","Urban Honolulu","HI","96817","1128","22034028"
"303","70956","21.270104235","-157.785425412","HI",303,"1",203.1707,"","AggieReverseGeocoder","",4.01,"1065 Noio St","Urban Honolulu","HI","96816","5116","35035008"
"304","347721","21.398949","-158.012665","HI",304,"1",78.1539,"","AggieReverseGeocoder","",4.01,"1126 Kakala St","Waipahu","HI","96797","2065","94147106"
"305","452479","21.273655062","-157.823810171","HI",305,"1",437.5357,"","AggieReverseGeocoder","",4.01,"130 Ohua Ave","Urban Honolulu","HI","96815","3642","26026012"
"306","300407","21.31942","-157.868225","HI",306,"1",171.9111,"","AggieReverseGeocoder","",4.01,"915 Robello Ln","Urban Honolulu","HI","96817","4546","15006028"
"307","98153","21.298584","-157.842194","HI",307,"1",203.0874,"","AggieReverseGeocoder","",4.01,"928 Cedar St","Urban Honolulu","HI","96814","2332","23013019"
"308","291121","21.396215","-157.940292","HI",308,"1",1343.7148,"","AggieReverseGeocoder","",4.01,"98-498 PONO ST","Aiea","HI","96701","","109377"
"309","230701","21.398399","-158.012817","HI",309,"1",187.5316,"","AggieReverseGeocoder","",4.01,"1140 Kakala St","Waipahu","HI","96797","2065","94147102"
"310","48082","21.298376","-157.844696","HI",310,"1",862.177,"","AggieReverseGeocoder","",4.01,"833 Piikoi St","Urban Honolulu","HI","96814","2239","23012021"
"311","50619","21.469523","-157.997646","HI",311,"1",15.6593,"","AggieReverseGeocoder","",4.01,"1062 Melia St","Mililani Town","HI","96789","6020","95050042"
"312","33692","21.41449","-157.803528","HI",312,"1",1563.6821,"","AggieReverseGeocoder","",4.01,"45-1012 PAHUWAI PL","Kaneohe","HI","96744","","389003"
"313","81236","21.3965907","-157.8018972","HI",313,"1",1062.5296,"","AggieReverseGeocoder","",4.01,"45-544 ALOKAHI PL","Kaneohe","HI","96744","","357884"
"314","149860","21.33653635","-157.91322822","HI",314,"1",359.4839,"","AggieReverseGeocoder","",4.01,"3253 N Nimitz Hwy","Hickam Housing","HI","96819","1907","11014074"
"315","156900","21.268608","-157.800903","HI",315,"1",421.9819,"","AggieReverseGeocoder","",4.01,"510  18th Ave","Urban Honolulu","HI","96815","4442","31042020"
"316","79645","21.353421793","-157.885770724","HI",316,"1",890.6848,"","AggieReverseGeocoder","",4.01,"1663 Ala Mahamoe St","Hickam Housing","HI","96819","1720","11032066"
"317","68328","21.341730215","-157.886020135","HI",317,"1",796.888,"","AggieReverseGeocoder","",4.01,"1302 Arsenal Rd","Hickam Housing","HI","96819","5607","13010037"
"318","149779","21.378586","-158.019257","HI",318,"1",15.6141,"","AggieReverseGeocoder","",4.01,"300 Farrington Hwy","Waipahu","HI","96797","2042","94028029"
"319","235594","21.402325","-157.960266","HI",319,"1",468.754,"","AggieReverseGeocoder","",4.01,"706 Hooluu St","Aiea","HI","96782","2144","97044098"
"320","278017","21.32442202","-157.87306769","HI",320,"1",562.542,"","AggieReverseGeocoder","",4.01,"801 Moowaa St","Urban Honolulu","HI","96817","4444","15019012"
"321","95884","21.515564","-157.836426","HI",321,"1",718.7226,"","AggieReverseGeocoder","",4.01,"49-541 KAM HWY","Kaneohe","HI","96744","","304557"
"322","452512","21.27129113","-157.81172946","HI",322,"1",1281.2325,"","AggieReverseGeocoder","",4.01,"3527 Campbell Ave","Urban Honolulu","HI","96815","6367","31019065"
"323","241429","21.317907829","-157.80325095","HI",323,"1",468.804,"","AggieReverseGeocoder","",4.01,"3225 Pakanu St","Urban Honolulu","HI","96822","1341","29043001"
"324","115715","21.40373","-158.024353","HI",324,"1",1390.5658,"","AggieReverseGeocoder","",4.01,"94-1045 HALEAINA ST","Waipahu","HI","96797","","109576"
"325","220575","21.322466099","-157.839933955","HI",325,"1",890.6223,"","AggieReverseGeocoder","",4.01,"2608 Ahekolo St","Urban Honolulu","HI","96813","1106","22018087"
"326","480695","21.412215067","-157.954669263","HI",326,"1",171.8946,"","AggieReverseGeocoder","",4.01,"2100 Hookiekie St","Aiea","HI","96782","1425","97025006"
"327","184217","21.285774","-157.827942","HI",327,"1",359.4716,"","AggieReverseGeocoder","",4.01,"2021 Kapiolani Blvd","Urban Honolulu","HI","96826","3947","27036001"
"328","51565","21.389986","-157.971222","HI",328,"1",765.6326,"","AggieReverseGeocoder","",4.01,"839 Lehua Ave","Aiea","HI","96782","3322","97020004"
"329","82043","21.335253","-158.025681","HI",329,"1",1985.9694,"","AggieReverseGeocoder","",4.01,"91-223 HANAPOULI CIR","Ewa Beach","HI","96706","","182953"
"330","133513","21.332022","-157.736343","HI",330,"1",1418.3467,"","AggieReverseGeocoder","",4.01,"41-909 MAHAILUA ST","Waimanalo","HI","96795","","193587"
"331","126219","21.30059194","-157.83708138","HI",331,"1",374.9925,"","AggieReverseGeocoder","",4.01,"1462 Kinau St","Urban Honolulu","HI","96814","1356","24010021"
"332","98673","21.404638","-157.95192","HI",332,"1",546.9107,"","AggieReverseGeocoder","",4.01,"63 Hoomalu St","Aiea","HI","96782","1825","97086131"
"333","36207","21.395807","-158.015488","HI",333,"1",171.8897,"","AggieReverseGeocoder","",4.01,"1180 Kakala St","Waipahu","HI","96797","2064","94147090"
"334","280416","21.297928","-157.820801","HI",334,"1",390.6299,"","AggieReverseGeocoder","",4.01,"2444 Dole St","Urban Honolulu","HI","96822","2399","28023003"
"335","196589","21.301609","-157.68573","HI",335,"1",171.9402,"","AggieReverseGeocoder","",4.01,"988 Lunalilo Home Rd","East Honolulu","HI","96825","2701","39062087"
"336","270774","21.292274","-157.824875","HI",336,"1",953.1441,"","AggieReverseGeocoder","",4.01,"931 Coolidge St","Urban Honolulu","HI","96826","3067","27009025"
"337","104238","21.3842668","-157.9388347","HI",337,"1",1859.3702,"","AggieReverseGeocoder","",4.01,"98-1059 MOANALUA RD","Aiea","HI","96701","","196327"
"338","127948","21.266357","-157.784088","HI",338,"1",1056.579,"","AggieReverseGeocoder","",4.01,"4659 Kolohala St","Urban Honolulu","HI","96816","5223","35031020"
"339","52251","21.266333","-157.814621","HI",339,"1",296.6955,"","AggieReverseGeocoder","",4.01,"3030 Pualei Cir","Urban Honolulu","HI","96815","4947","31026039"
"340","195036","21.38833692","-157.90749942","HI",340,"1",1899.1656,"","AggieReverseGeocoder","",4.01,"99-435 AIEALANI PL","Aiea","HI","96701","","160163"
"341","257784","21.273254","-157.816971","HI",341,"1",374.9876,"","AggieReverseGeocoder","",4.01,"324 Kapahulu Ave","Urban Honolulu","HI","96815","4033","26029002"
"342","208697","21.315680031","-157.862334764","HI",342,"1",1453.9708,"","AggieReverseGeocoder","",4.01,"1233 Aala St","Urban Honolulu","HI","96817","3953","17026015"
"343","558164","21.308918697","-157.849242295","HI",343,"1",643.891,"","AggieReverseGeocoder","",4.01,"1609 Alapai St","Urban Honolulu","HI","96813","1901","22004033"
"344","292256","21.288044","-157.819489","HI",344,"1",436.9865,"","AggieReverseGeocoder","",4.01,"823 Waiaka Pl","Urban Honolulu","HI","96826","3455","27027018"
"345","141581","21.324915","-157.805298","HI",345,"1",453.1821,"","AggieReverseGeocoder","",4.01,"3518 Kumu St","Urban Honolulu","HI","96822","1213","29063023"
"346","259513","21.34069181","-158.04343584","HI",346,"1",2093.7536,"","AggieReverseGeocoder","",4.01,"91-1082 WILI ST","Ewa Beach","HI","96706","","398845"
"347","274473","21.328688107","-157.865185501","HI",347,"1",359.3698,"","AggieReverseGeocoder","",4.01,"1534 Kokea St","Urban Honolulu","HI","96817","2811","16006050"
"348","91839","21.33772361","-158.0652534","HI",348,"1",62.5076,"","AggieReverseGeocoder","",4.01,"1077 Manawai St","Ewa Gentry","HI","96707","2041","91016024"
"349","486670","21.435089541","-158.021163595","HI",349,"1",1937.5953,"","AggieReverseGeocoder","",4.01,"94-318 KAAEI PL","Mililani","HI","96789","","143082"
"350","67368","21.272934","-157.807465","HI",350,"1",1250.0222,"","AggieReverseGeocoder","",4.01,"3418 James St","Urban Honolulu","HI","96815","4335","31009004"
"351","35460","21.419933","-157.803497","HI",351,"1",1312.5107,"","AggieReverseGeocoder","",4.01,"46-38 KAM HWY","Kaneohe","HI","96744","","325013"
"352","178381","21.349457","-158.087967","HI",352,"1",781.2551,"","AggieReverseGeocoder","",4.01,"92-765 LIHAU ST","Kapolei","HI","96707","","117002"
"353","167071","21.307953","-157.840332","HI",353,"1",375.0011,"","AggieReverseGeocoder","",4.01,"1665 Piikoi St","Urban Honolulu","HI","96822","2738","24030040"
"354","199004","21.341114939","-158.02524114","HI",354,"1",1640.9534,"","AggieReverseGeocoder","",4.01,"91-1203 POHAHAWAI PL","Ewa Beach","HI","96706","","240946"
"355","223750","21.31995038","-157.85728443","HI",355,"1",1687.5099,"","AggieReverseGeocoder","",4.01,"1642 Stillman Ln","Urban Honolulu","HI","96817","3143","17019033"
"356","135023","21.31314866","-157.8339614","HI",356,"1",671.8655,"","AggieReverseGeocoder","",4.01,"2150 Mott-Smith Dr","Urban Honolulu","HI","96822","2516","24036021"
"357","202215","21.286055297","-157.813133045","HI",357,"1",171.8887,"","AggieReverseGeocoder","",4.01,"1003 Kapahulu Ave","Urban Honolulu","HI","96816","1304","32007014"
"358","208268","21.270218","-157.815048","HI",358,"1",765.6809,"","AggieReverseGeocoder","",4.01,"3008 Makini St","Urban Honolulu","HI","96815","4244","31024070"
"359","194660","21.45257396","-158.19500252","HI",359,"1",900.2389,"","AggieReverseGeocoder","",4.01,"85-105 ALA WALUA ST","Waianae","HI","96792","","334816"
"360","156091","21.30278","-157.842346","HI",360,"1",359.3939,"","AggieReverseGeocoder","",4.01,"1207 Matlock Ave","Urban Honolulu","HI","96814","1263","24011040"
"361","99151","21.321059177","-157.846723345","HI",361,"1",312.4669,"","AggieReverseGeocoder","",4.01,"2163 Booth Rd","Urban Honolulu","HI","96813","1362","22011052"
"362","76342","21.283251","-157.699448","HI",362,"1",578.1006,"","AggieReverseGeocoder","",4.01,"438 Kaleimamahu St","East Honolulu","HI","96825","2338","39071057"
"363","70957","21.31074","-157.861084","HI",363,"1",1328.1538,"","AggieReverseGeocoder","",4.01,"1108 Fort Street Mall","Urban Honolulu","HI","96813","2721","21003012"
"364","287840","21.324303","-158.021027","HI",364,"1",1578.2608,"","AggieReverseGeocoder","",4.01,"91-1001 KEAUNUI DR","Ewa Beach","HI","96706","","160874"
"365","36567","21.270970342","-157.815433103","HI",365,"1",1359.3455,"","AggieReverseGeocoder","",4.01,"3568 Leahi Ave","Urban Honolulu","HI","96815","4272","31023001"
"366","95443","21.331093","-158.022842","HI",366,"1",2630.0872,"","AggieReverseGeocoder","",4.01,"91-146 PUHIKANI PL","Ewa Beach","HI","96706","","370061"
"367","129781","21.28437","-157.839401","HI",367,"1",843.7846,"","AggieReverseGeocoder","",4.01,"1739 Ala Moana Blvd","Urban Honolulu","HI","96815","5700","23037012"
"368","330667","21.39547987","-157.72370073","HI",368,"1",703.1249,"","AggieReverseGeocoder","",4.01,"507 Kawailoa Rd","Waimanalo","HI","96734","3170","43010029"
"369","49065","21.339823","-157.699615","HI",369,"1",1421.8736,"","AggieReverseGeocoder","",4.01,"41-973 LAUMILO ST","Waimanalo","HI","96795","","602573"
"370","122483","21.307335","-157.847687","HI",370,"1",375.0535,"","AggieReverseGeocoder","",4.01,"1515 Ward Ave","Urban Honolulu","HI","96822","3567","24015021"
"371","109730","21.322052","-157.855606","HI",371,"1",1531.2582,"","AggieReverseGeocoder","",4.01,"314 N Kuakini St","Urban Honolulu","HI","96817","2358","17015050"
"372","279744","21.29615054","-157.84534659","HI",372,"1",437.5782,"","AggieReverseGeocoder","",4.01,"645 Piikoi St","Urban Honolulu","HI","96814","3186","23015032"
"373","132325","21.31731131","-158.00456089","HI",373,"1",1640.643,"","AggieReverseGeocoder","",4.01,"91-769 KILIPOE ST","Ewa Beach","HI","96706","","317694"
"374","243770","21.320432092","-157.8461807","HI",374,"1",1236.6948,"","AggieReverseGeocoder","",4.01,"2210 Kanealii Ave","Urban Honolulu","HI","96813","1383","22011007"
"375","72922","21.374014","-157.99852","HI",375,"1",1156.2674,"","AggieReverseGeocoder","",4.01,"93-65 WAIPAHU DEPOT ST","Waipahu","HI","96797","","192386"
"376","50094","21.303486","-157.849228","HI",376,"1",1171.8605,"","AggieReverseGeocoder","",4.01,"900 S Beretania St","Urban Honolulu","HI","96814","1429","24014021"
"377","120259","21.271149","-157.815384","HI",377,"1",843.7336,"","AggieReverseGeocoder","",4.01,"3562 Leahi Ave","Urban Honolulu","HI","96815","4272","31023002"
"378","165024","21.326126","-157.87384","HI",378,"1",546.8718,"","AggieReverseGeocoder","",4.01,"751 Waiakamilo Rd","Urban Honolulu","HI","96817","4312","15023011"
"379","157600","21.344513","-157.868057","HI",379,"1",921.888,"","AggieReverseGeocoder","",4.01,"2117 Kono Pl","Hickam Housing","HI","96819","2667","13031011"
"380","132405","21.281372","-157.828293","HI",380,"1",687.4893,"","AggieReverseGeocoder","",4.01,"2200 Kuhio Ave","Urban Honolulu","HI","96815","2828","26020018"
"381","491641","21.314986637","-157.669970208","HI",381,"1",312.5294,"","AggieReverseGeocoder","",4.01,"1492 Honokahua St","East Honolulu","HI","96825","3041","39104004"
"382","55519","21.510214","-158.004105","HI",382,"1",203.1874,"","AggieReverseGeocoder","",4.01,"225 Hakuone St","Wheeler AFB","HI","96786","2770","75022015"
"383","34341","21.293154","-157.830994","HI",383,"1",234.3478,"","AggieReverseGeocoder","",4.01,"848 Mccully St","Urban Honolulu","HI","96826","4798","23029004"
"384","114128","21.316231","-158.022385","HI",384,"1",1796.8737,"","AggieReverseGeocoder","",4.01,"91-6495 KAPOLEI PKWY","Ewa Beach","HI","96706","","389607"
"385","61025","21.41806","-157.747177","HI",385,"1",281.2371,"","AggieReverseGeocoder","",4.01,"150 Kailuana Pl","Waimanalo","HI","96734","1667","43083051"
"386","73731","21.256493","-157.814972","HI",386,"1",374.9733,"","AggieReverseGeocoder","",4.01,"3187 Diamond Head Rd","Urban Honolulu","HI","96815","4719","31036001"
"387","40345","21.295972535","-157.844157812","HI",387,"1",343.7184,"","AggieReverseGeocoder","",4.01,"1246 Kamaile St","Urban Honolulu","HI","96814","2903","23014015"
"388","271399","21.282587","-157.83432","HI",388,"1",796.8787,"","AggieReverseGeocoder","",4.01,"2023 Kalia Rd","Urban Honolulu","HI","96815","1917","26008001"
"389","55028","21.269575","-157.777115","HI",389,"1",312.5002,"","AggieReverseGeocoder","",4.01,"4925 Kahala Ave","Urban Honolulu","HI","96816","5409","35023004"
"390","110900","21.295334","-157.828461","HI",390,"1",281.2251,"","AggieReverseGeocoder","",4.01,"2064 Young St","Urban Honolulu","HI","96826","2228","28003019"
"391","40270","21.306810379","-157.843093872","HI",391,"1",281.3069,"","AggieReverseGeocoder","",4.01,"1559 Thurston Ave","Urban Honolulu","HI","96822","3777","24018022"
"392","533729","21.592497067","-158.109604478","HI",392,"1",765.6107,"","AggieReverseGeocoder","",4.01,"66-105 HALEIWA RD","Haleiwa","HI","96712","","138023"
"393","197648","21.402728073","-157.96983568","HI",393,"1",546.8887,"","AggieReverseGeocoder","",4.01,"1255 Kuala St","Aiea","HI","96782","2899","97024052"
"394","42979","21.403826","-158.024246","HI",394,"1",1874.9652,"","AggieReverseGeocoder","",4.01,"94-1045 HALEAINA ST","Waipahu","HI","96797","","109576"
"395","186385","21.321857","-157.863693","HI",395,"1",1615.5137,"","AggieReverseGeocoder","",4.01,"703 N Vineyard Blvd","Urban Honolulu","HI","96817","3539","17031001"
"396","202344","21.3618237","-157.89778843","HI",396,"1",531.2259,"","AggieReverseGeocoder","",4.01,"1259 Ala Aolani St","Hickam Housing","HI","96819","1464","11039013"
"397","270751","21.4410605","-158.02110731","HI",397,"1",125.0273,"","AggieReverseGeocoder","",4.01,"295 Kilau Pl","Mililani Town","HI","96789","2383","94109018"
"398","253402","21.5342866","-158.0853031","HI",398,"1",691.877,"","AggieReverseGeocoder","",4.01,"65-670 KAUKONAHUA RD","Wahiawa","HI","96786","","115469"
"399","216801","21.375076","-157.735672","HI",399,"1",843.7788,"","AggieReverseGeocoder","",4.01,"1257 Akamai St","Waimanalo","HI","96734","4036","42059055"
"400","141516","21.295328","-157.703842","HI",400,"1",78.1606,"","AggieReverseGeocoder","",4.01,"980 Kaahue St","East Honolulu","HI","96825","1341","39075093"
"401","273192","21.341488","-157.832077","HI",401,"1",171.8892,"","AggieReverseGeocoder","",4.01,"38 Kepola Pl","Urban Honolulu","HI","96817","5212","22050030"
"402","125590","21.435047","-158.18251","HI",402,"1",984.3633,"","AggieReverseGeocoder","",4.01,"86-120 FARRINGTON HWY","Waianae","HI","96792","","53508"
"403","277861","21.353006","-157.923111","HI",403,"1",703.1355,"","AggieReverseGeocoder","",4.01,"1040 Puolo Dr","Aiea","HI","96818","1123","11022162"
"404","101257","21.403015","-157.739731","HI",404,"1",453.1285,"","AggieReverseGeocoder","",4.01,"205 N Kalaheo Ave","Waimanalo","HI","96734","2317","43027001"
"405","217019","21.377708","-158.016556","HI",405,"1",15.6221,"","AggieReverseGeocoder","",4.01,"300 Farrington Hwy","Waipahu","HI","96797","2042","94028029"
"406","444845","21.374713078","-157.780673052","HI",406,"1",406.2536,"","AggieReverseGeocoder","",4.01,"1199 Auloa Rd","Waimanalo","HI","96734","4606","45035003"
"407","35086","21.336996","-158.03154","HI",407,"1",2046.8638,"","AggieReverseGeocoder","",4.01,"91-105 KUHIALOKO PL","Ewa Beach","HI","96706","","58723"
"408","57871","21.371346","-158.04071","HI",408,"1",1128.5475,"","AggieReverseGeocoder","",4.01,"91-1403 FARRINGTON HWY","Ewa Beach","HI","96706","","197891"
"409","47180","21.271263","-157.788692","HI",409,"1",500.0626,"","AggieReverseGeocoder","",4.01,"930 Koae St","Urban Honolulu","HI","96816","5005","35027027"
"410","129023","21.30895","-157.826182","HI",410,"1",375.0457,"","AggieReverseGeocoder","",4.01,"2325 Mamane Pl","Urban Honolulu","HI","96822","2041","25005044"
"411","91974","21.34738","-157.864838","HI",411,"1",874.972,"","AggieReverseGeocoder","",4.01,"2230 Wilson St","Hickam Housing","HI","96819","3636","13033063"
"412","67258","21.3949107","-157.7482721","HI",412,"1",234.3603,"","AggieReverseGeocoder","",4.01,"157 Kihapai St","Waimanalo","HI","96734","2667","43058061"
"413","102777","21.266531533","-157.786578643","HI",413,"1",860.0829,"","AggieReverseGeocoder","",4.01,"658 Hunakai St","Urban Honolulu","HI","96816","4910","35033007"
"414","53694","21.285715","-157.831435","HI",414,"1",234.3941,"","AggieReverseGeocoder","",4.01,"439 Keoniana St","Urban Honolulu","HI","96815","2077","26015030"
"415","74524","21.311259","-157.8629133","HI",415,"1",15.6309,"","AggieReverseGeocoder","",4.01,"1021 Smith St","Urban Honolulu","HI","96817","5623","17003003"
"416","95098","21.292824","-157.79953","HI",416,"1",1312.5087,"","AggieReverseGeocoder","",4.01,"1709 Maoi Pl","Urban Honolulu","HI","96816","2505","33041079"
"417","174121","21.289368","-157.824188","HI",417,"1",468.7774,"","AggieReverseGeocoder","",4.01,"733 University Ave","Urban Honolulu","HI","96826","3127","27015028"
"418","42574","21.357981","-157.921982","HI",418,"1",421.9359,"","AggieReverseGeocoder","",4.01,"4406 Likini St","Aiea","HI","96818","1138","11024063"
"419","398282","21.36965633","-157.73413638","HI",419,"1",156.2656,"","AggieReverseGeocoder","",4.01,"1522 Ponopono Pl","Waimanalo","HI","96734","4167","42097040"
"420","327734","21.287823","-157.839966","HI",420,"1",812.5641,"","AggieReverseGeocoder","",4.01,"1660 Ala Moana Blvd","Urban Honolulu","HI","96815","1460","26011023"
"421","396072","21.476149","-158.009949","HI",421,"1",78.1389,"","AggieReverseGeocoder","",4.01,"239 Palii St","Mililani Town","HI","96789","3964","95046027"
"422","64499","21.337536","-158.062561","HI",422,"1",1145.889,"","AggieReverseGeocoder","",4.01,"91-208 KEKEPANIA PL","Kapolei","HI","96707","","54553"
"423","176768","21.315445","-157.797531","HI",423,"1",340.0668,"","AggieReverseGeocoder","",4.01,"3423 Paty Dr","Urban Honolulu","HI","96822","6424","29070027"
"424","357800","21.288651","-157.710266","HI",424,"1",623.8936,"","AggieReverseGeocoder","",4.01,"546 Kumukahi Pl","East Honolulu","HI","96825","1106","39052033"
"425","39050","21.330118","-157.864197","HI",425,"1",312.5193,"","AggieReverseGeocoder","",4.01,"1616 Pohaku St","Urban Honolulu","HI","96817","2020","16014026"
"426","53854","21.27495","-157.817444","HI",426,"1",286.0226,"","AggieReverseGeocoder","",4.01,"400 Kapahulu Ave","Urban Honolulu","HI","96815","3848","27036006"
"427","158750","21.279055699","-157.799780476","HI",427,"1",375.0102,"","AggieReverseGeocoder","",4.01,"3630 Pahoa Ave","Urban Honolulu","HI","96816","2329","32014001"
"428","70263","21.309315","-157.839783","HI",428,"1",295.997,"","AggieReverseGeocoder","",4.01,"1690 Pensacola St","Urban Honolulu","HI","96822","2677","24033028"
"429","273381","21.313950247","-157.806703385","HI",429,"1",265.6127,"","AggieReverseGeocoder","",4.01,"3155 Manoa Rd","Urban Honolulu","HI","96822","1228","29036003"
"430","44354","21.470427","-158.217789","HI",430,"1",1032.3865,"","AggieReverseGeocoder","",4.01,"84-670 UPENA ST","Waianae","HI","96792","","25577"
"431","70101","21.30191","-157.840714","HI",431,"1",375.0081,"","AggieReverseGeocoder","",4.01,"1302 Kinau St","Urban Honolulu","HI","96814","1218","24011095"
"432","345632","21.288092","-157.819473","HI",432,"1",765.6455,"","AggieReverseGeocoder","",4.01,"823 Waiaka Pl","Urban Honolulu","HI","96826","3455","27027018"
"433","354183","21.273796","-157.796692","HI",433,"1",565.4427,"","AggieReverseGeocoder","",4.01,"815  17th Ave","Urban Honolulu","HI","96816","4103","32052026"
"434","97240","21.305824","-157.84523","HI",434,"1",171.9296,"","AggieReverseGeocoder","",4.01,"1044 Green St","Urban Honolulu","HI","96822","3644","24017012"
"435","338841","21.274996","-157.818954","HI",435,"1",458.8787,"","AggieReverseGeocoder","",4.01,"311 Wai Nani Way","Urban Honolulu","HI","96815","3962","26028016"
"436","254305","21.310036","-157.864212","HI",436,"1",1191.3644,"","AggieReverseGeocoder","",4.01,"800 Bethel St","Urban Honolulu","HI","96813","4339","21002026"
"437","55321","21.409924","-157.745475","HI",437,"1",46.9013,"","AggieReverseGeocoder","",4.01,"134 Ainoni St","Waimanalo","HI","96734","2137","43024034"
"438","55895","21.312355","-157.861237","HI",438,"1",187.5203,"","AggieReverseGeocoder","",4.01,"1170 Nuuanu Ave","Urban Honolulu","HI","96817","5142","17004004"
"439","227063","21.288086","-157.819809","HI",439,"1",453.1157,"","AggieReverseGeocoder","",4.01,"871 Waiaka Rd","Urban Honolulu","HI","96826","3454","27027019"
"440","455103","21.4420111","-157.9878","HI",440,"1",2121.4419,"","AggieReverseGeocoder","",4.01,"94-560 KAM HWY","Waipahu","HI","96797","","190611"
"441","199466","21.267952","-157.815887","HI",441,"1",1269.3064,"","AggieReverseGeocoder","",4.01,"3851 Paki Ave","Urban Honolulu","HI","96815","4500","31043013"
"442","79270","21.352357905","-157.886398217","HI",442,"1",468.7938,"","AggieReverseGeocoder","",4.01,"1616 Ala Mahamoe St","Hickam Housing","HI","96819","1719","11028066"
"443","201560","21.306534","-157.846436","HI",443,"1",671.9427,"","AggieReverseGeocoder","",4.01,"1441 Victoria St","Urban Honolulu","HI","96822","3686","24015004"
"444","253954","21.341936","-157.8661459","HI",444,"1",171.8409,"","AggieReverseGeocoder","",4.01,"2007 Kalihi St","Hickam Housing","HI","96819","3600","13027044"
"445","48410","21.298294","-157.831573","HI",445,"1",171.8687,"","AggieReverseGeocoder","",4.01,"1231 Alexander St","Urban Honolulu","HI","96826","1200","28010026"
"446","76758","21.28808","-157.840225","HI",446,"1",437.5224,"","AggieReverseGeocoder","",4.01,"1599 Ala Moana Blvd","Urban Honolulu","HI","96814","4601","23037006"
"447","333226","21.281815","-157.750854","HI",447,"1",953.1291,"","AggieReverseGeocoder","",4.01,"5304 Limu Pl","Urban Honolulu","HI","96821","1940","36006059"
"448","48760","21.288467","-157.832565","HI",448,"1",734.4096,"","AggieReverseGeocoder","",4.01,"2015 Kapiolani Blvd","Urban Honolulu","HI","96826","3947","27036005"
"449","374615","21.310158","-157.83139","HI",449,"1",218.7642,"","AggieReverseGeocoder","",4.01,"2101 Keeaumoku St","Urban Honolulu","HI","96822","2529","24026031"
"450","103246","21.288435","-157.820221","HI",450,"1",906.2718,"","AggieReverseGeocoder","",4.01,"2710 Waiaka Rd","Urban Honolulu","HI","96826","3400","27017034"
"451","283124","21.309685","-157.816406","HI",451,"1",281.1939,"","AggieReverseGeocoder","",4.01,"2711 Terrace Dr","Urban Honolulu","HI","96822","1709","29015024"
"452","514994","21.338464158","-157.87268903","HI",452,"1",281.2401,"","AggieReverseGeocoder","",4.01,"1538 Martin St","Hickam Housing","HI","96819","2529","13015042"
"453","255529","21.29178537","-157.86329491","HI",453,"1",906.2635,"","AggieReverseGeocoder","",4.01,"98 Koula St","Urban Honolulu","HI","96813","5543","21060002"
